icl,inst,block
u_hcm_hbm_u0_hbm_octa_channel_u2.hbm_ctrl_ip_u0_sdram_sys_top_inst_5__sdram_sys_top,u_hcm/hbm_u0/hbm_octa_channel_u2/hbm_ctrl_ip_u0/sdram_sys_top_inst_5__sdram_sys_top,nwl_sdram_sys_top
u_hcm_hbm_u0_hbm_octa_channel_u2.hbm_ctrl_ip_u0_sdram_sys_top_inst_6__sdram_sys_top,u_hcm/hbm_u0/hbm_octa_channel_u2/hbm_ctrl_ip_u0/sdram_sys_top_inst_6__sdram_sys_top,nwl_sdram_sys_top
u_hcm_hbm_u0_hbm_octa_channel_u2.hbm_ctrl_ip_u0_sdram_sys_top_inst_7__sdram_sys_top,u_hcm/hbm_u0/hbm_octa_channel_u2/hbm_ctrl_ip_u0/sdram_sys_top_inst_7__sdram_sys_top,nwl_sdram_sys_top
u_hcm_hbm_u0_hbm_octa_channel_u3,u_hcm/hbm_u0/hbm_octa_channel_u3,hbm_octa_channel_v1
u_hcm_hbm_u0_hbm_octa_channel_u3.hbm_ctrl_ip_u0_sdram_sys_top,u_hcm/hbm_u0/hbm_octa_channel_u3/hbm_ctrl_ip_u0/sdram_sys_top,nwl_sdram_sys_top
u_hcm_hbm_u0_hbm_octa_channel_u3.hbm_ctrl_ip_u0_sdram_sys_top_inst_1__sdram_sys_top,u_hcm/hbm_u0/hbm_octa_channel_u3/hbm_ctrl_ip_u0/sdram_sys_top_inst_1__sdram_sys_top,nwl_sdram_sys_top
u_hcm_hbm_u0_hbm_octa_channel_u3.hbm_ctrl_ip_u0_sdram_sys_top_inst_2__sdram_sys_top,u_hcm/hbm_u0/hbm_octa_channel_u3/hbm_ctrl_ip_u0/sdram_sys_top_inst_2__sdram_sys_top,nwl_sdram_sys_top
u_hcm_hbm_u0_hbm_octa_channel_u3.hbm_ctrl_ip_u0_sdram_sys_top_inst_3__sdram_sys_top,u_hcm/hbm_u0/hbm_octa_channel_u3/hbm_ctrl_ip_u0/sdram_sys_top_inst_3__sdram_sys_top,nwl_sdram_sys_top
u_hcm_hbm_u0_hbm_octa_channel_u3.hbm_ctrl_ip_u0_sdram_sys_top_inst_4__sdram_sys_top,u_hcm/hbm_u0/hbm_octa_channel_u3/hbm_ctrl_ip_u0/sdram_sys_top_inst_4__sdram_sys_top,nwl_sdram_sys_top
u_hcm_hbm_u0_hbm_octa_channel_u3.hbm_ctrl_ip_u0_sdram_sys_top_inst_5__sdram_sys_top,u_hcm/hbm_u0/hbm_octa_channel_u3/hbm_ctrl_ip_u0/sdram_sys_top_inst_5__sdram_sys_top,nwl_sdram_sys_top
u_hcm_hbm_u0_hbm_octa_channel_u3.hbm_ctrl_ip_u0_sdram_sys_top_inst_6__sdram_sys_top,u_hcm/hbm_u0/hbm_octa_channel_u3/hbm_ctrl_ip_u0/sdram_sys_top_inst_6__sdram_sys_top,nwl_sdram_sys_top
u_hcm_hbm_u0_hbm_octa_channel_u3.hbm_ctrl_ip_u0_sdram_sys_top_inst_7__sdram_sys_top,u_hcm/hbm_u0/hbm_octa_channel_u3/hbm_ctrl_ip_u0/sdram_sys_top_inst_7__sdram_sys_top,nwl_sdram_sys_top
u_hcm_lif_u0_fxsch_u0_fxsch_ipro_crm_top_u0,u_hcm/lif_u0/fxsch_u0/fxsch_ipro_crm_top_u0,fxsch_ipro_crm_top
u_hcm_lif_u0_fxsch_u0_fxsch_opro_top_u0,u_hcm/lif_u0/fxsch_u0/fxsch_opro_top_u0,fxsch_opro_top
u_hcm_lif_u0_lif0_u0,u_hcm/lif_u0/lif0_u0,lif0
u_hcm_lif_u0_lif0_u1,u_hcm/lif_u0/lif0_u1,lif02
u_hcm_lif_u0_lif1_u0,u_hcm/lif_u0/lif1_u0,lif1
u_hcm_lif_u0_lif12_u0,u_hcm/lif_u0/lif12_u0,lif12
u_hcm_lif_u0_lif2_u0,u_hcm/lif_u0/lif2_u0,lif2
u_hcm_lif_u0_lifcc_u0,u_hcm/lif_u0/lifcc_u0,lifcc
u_hcm_lif_u0_rce_24_ch_1_u0_falcon_top_v1_u0_flexe_v1_u0_flexe_oh_v1_u0,u_hcm/lif_u0/rce_24_ch_1_u0/falcon_top_v1_u0/flexe_v1_u0/flexe_oh_v1_u0,flexe_oh_v1
u_hcm_lif_u0_rce_24_ch_1_u0_falcon_top_v1_u0_flexe_v1_u0_flexe_rx_v1_u0_flexe_rx_wrapper_0_v1_u0,u_hcm/lif_u0/rce_24_ch_1_u0/falcon_top_v1_u0/flexe_v1_u0/flexe_rx_v1_u0/flexe_rx_wrapper_0_v1_u0,flexe_rx_wrapper_0_v1
u_hcm_lif_u0_rce_24_ch_1_u0_falcon_top_v1_u0_flexe_v1_u0_flexe_rx_v1_u0_flexe_rx_wrapper_2_v1_u0,u_hcm/lif_u0/rce_24_ch_1_u0/falcon_top_v1_u0/flexe_v1_u0/flexe_rx_v1_u0/flexe_rx_wrapper_2_v1_u0,flexe_rx_wrapper_2_v1
u_hcm_lif_u0_rce_24_ch_1_u0_falcon_top_v1_u0_flexe_v1_u0_flexe_tx_v1_u0_flexe_tx_client_fifo_v1_u0_flexe_tx_client_fifo_h_v1_u0,u_hcm/lif_u0/rce_24_ch_1_u0/falcon_top_v1_u0/flexe_v1_u0/flexe_tx_v1_u0/flexe_tx_client_fifo_v1_u0/flexe_tx_client_fifo_h_v1_u0,flexe_tx_client_fifo_h_v1
u_hcm_lif_u0_rce_24_ch_1_u0_falcon_top_v1_u0_flexe_v1_u0_flexe_tx_v1_u0_flexe_tx_client_fifo_v1_u0_flexe_tx_client_fifo_l_v1_u0,u_hcm/lif_u0/rce_24_ch_1_u0/falcon_top_v1_u0/flexe_v1_u0/flexe_tx_v1_u0/flexe_tx_client_fifo_v1_u0/flexe_tx_client_fifo_l_v1_u0,flexe_tx_client_fifo_l_v1
