,,,,TC,PC,TT,SC,LG
crossbar_top,/scratch/carina_pddft/carina_ce/DFT/final/crossbar_top/Rev2.0/20191028_CrossbarRev2.0_20191026az_sajain_0/atpg/log/log.atpg_dcsa_edt.ext,dcsa_edt.ext,23:23.7,16.86,64,613.8,10121,277
crossbar_top,/scratch/carina_pddft/carina_ce/DFT/final/crossbar_top/Rev2.0/20191028_CrossbarRev2.0_20191026az_sajain_0/atpg/log/log.atpg_dcsa_edt.int,dcsa_edt.int,23:23.7,99.56,26954,15813.6,923581,300
crossbar_top,/scratch/carina_pddft/carina_ce/DFT/final/crossbar_top/Rev2.0/20191028_CrossbarRev2.0_20191026az_sajain_0/atpg/log/log.atpg_tdf_loc_edt.int,tdf_loc_edt.int,23:23.7,53.81,58570,41515.9,923581,300
crossbar_top,/scratch/carina_pddft/carina_ce/DFT/final/crossbar_top/Rev2.0/20191028_CrossbarRev2.0_20191026az_sajain_0/atpg/log/log.atpg_tdf_los_edt.int,tdf_los_edt.int,23:23.7,81.61,47001,67085.9,923581,300
dsp_demod,/scratch/carina_pddft/carina_ce/DFT/final/dsp_demod/Rev2.0/20191031_sajain_0/atpg/log/log.atpg_dcsa_edt.ext,dcsa_edt.ext,23:23.7,55.23,23,245.9,14887,298
dsp_demod,/scratch/carina_pddft/carina_ce/DFT/final/dsp_demod/Rev2.0/20191031_sajain_0/atpg/log/log.atpg_dcsa_edt.int,dcsa_edt.int,23:23.7,99.27,1654,608.5,159787,304
dsp_demod,/scratch/carina_pddft/carina_ce/DFT/final/dsp_demod/Rev2.0/20191031_sajain_0/atpg/log/log.atpg_tdf_loc_edt.int,tdf_loc_edt.int,23:23.7,48.29,1768,1053.7,159787,304
dsp_demod,/scratch/carina_pddft/carina_ce/DFT/final/dsp_demod/Rev2.0/20191031_sajain_0/atpg/log/log.atpg_tdf_los_edt.int,tdf_los_edt.int,23:23.7,79.11,12446,10253.6,159787,304
dsp_front_end,/scratch/carina_pddft/carina_ce/DFT/final/dsp_front_end/Rev2.0/20191203_sajain_Rev2.0eco1_20191202db_0/atpg/log/log.atpg_dcsa_edt.ext,dcsa_edt.ext,23:23.7,37.57,30,465.5,20337,299
dsp_front_end,/scratch/carina_pddft/carina_ce/DFT/final/dsp_front_end/Rev2.0/20191203_sajain_Rev2.0eco1_20191202db_0/atpg/log/log.atpg_dcsa_edt.int,dcsa_edt.int,23:23.7,98.33,2592,1245.8,397531,304
dsp_front_end,/scratch/carina_pddft/carina_ce/DFT/final/dsp_front_end/Rev2.0/20191203_sajain_Rev2.0eco1_20191202db_0/atpg/log/log.atpg_tdf_loc_edt.int,tdf_loc_edt.int,23:23.7,76.66,1331,3223,397531,304
dsp_front_end,/scratch/carina_pddft/carina_ce/DFT/final/dsp_front_end/Rev2.0/20191203_sajain_Rev2.0eco1_20191202db_0/atpg/log/log.atpg_tdf_los_edt.int,tdf_los_edt.int,23:23.7,67.88,43623,81601.2,397531,304
dsp_sync,/scratch/carina_pddft/carina_ce/DFT/final/dsp_sync/Rev2.0/20191119_sajain_20191116az_0/atpg/log/log.atpg_dcsa_edt.ext,dcsa_edt.ext,23:23.7,6.59,35,1333.9,13815,293
dsp_sync,/scratch/carina_pddft/carina_ce/DFT/final/dsp_sync/Rev2.0/20191119_sajain_20191116az_0/atpg/log/log.atpg_dcsa_edt.int,dcsa_edt.int,23:23.7,97.06,10367,10909.8,1456955,304
dsp_sync,/scratch/carina_pddft/carina_ce/DFT/final/dsp_sync/Rev2.0/20191119_sajain_20191116az_0/atpg/log/log.atpg_tdf_loc_edt.int,tdf_loc_edt.int,23:23.7,89.84,96357,389084.7,1456955,304
dsp_sync,/scratch/carina_pddft/carina_ce/DFT/final/dsp_sync/Rev2.0/20191119_sajain_20191116az_0/atpg/log/log.atpg_tdf_los_edt.int,tdf_los_edt.int,23:23.7,10.07,15555,78474.4,1456955,304
dsp_tx,/scratch/carina_pddft/carina_ce/DFT/final/dsp_tx/Rev2.0/20191021_sajain_0/atpg/log/log.atpg_dcsa_edt.ext,dcsa_edt.ext,23:23.7,9.05,42,309.2,7691,293
dsp_tx,/scratch/carina_pddft/carina_ce/DFT/final/dsp_tx/Rev2.0/20191021_sajain_0/atpg/log/log.atpg_dcsa_edt.int,dcsa_edt.int,23:23.7,99.38,20800,4855.5,241066,304
dsp_tx,/scratch/carina_pddft/carina_ce/DFT/final/dsp_tx/Rev2.0/20191021_sajain_0/atpg/log/log.atpg_tdf_loc_edt.int,tdf_loc_edt.int,23:23.7,81.6,896,892.6,241066,304
dsp_tx,/scratch/carina_pddft/carina_ce/DFT/final/dsp_tx/Rev2.0/20191021_sajain_0/atpg/log/log.atpg_tdf_los_edt.int,tdf_los_edt.int,23:23.7,41.09,31912,57162.4,241066,304
du_a,/scratch/carina_pddft/carina_ce/DFT/final/du_a/Rev2.0/20190821_sajain_finalDB_20190313_rkb/atpg/log/log.atpg_dcsa_edt.ext,dcsa_edt.ext,23:23.7,79.33,83,88,4307,281
du_a,/scratch/carina_pddft/carina_ce/DFT/final/du_a/Rev2.0/20190821_sajain_finalDB_20190313_rkb/atpg/log/log.atpg_dcsa_edt.int,dcsa_edt.int,23:23.7,93.87,3124,878.9,36834,304
