,,,,TC,PC,TT,SC,LG
master_controller_aux,/scratch/carina_pddft/carina_ce/DFT/final/master_controller_aux/Rev2.1/20191224_sajain_20191223az_1_modmemlib/atpg/log/log.atpg_tdf_los_edt.int,tdf_los_edt.int,23:23.8,80.24,6437,2290.3,95542,300
master_controller,/scratch/carina_pddft/carina_ce/DFT/final/master_controller/Rev2.1/20191230_sajain_20191223az_eco_POSTLAYOUT_0/atpg/log/log.atpg_dcsa_edt.ext,dcsa_edt.ext,23:23.8,30.09,623,369.6,9704,288
master_controller,/scratch/carina_pddft/carina_ce/DFT/final/master_controller/Rev2.1/20191230_sajain_20191223az_eco_POSTLAYOUT_0/atpg/log/log.atpg_dcsa_edt.int,dcsa_edt.int,23:23.8,95.83,23480,3993.9,263922,300
master_controller,/scratch/carina_pddft/carina_ce/DFT/final/master_controller/Rev2.1/20191230_sajain_20191223az_eco_POSTLAYOUT_0/atpg/log/log.atpg_tdf_loc_edt.int,tdf_loc_edt.int,23:23.8,37.31,30618,13493.3,263922,300
master_controller,/scratch/carina_pddft/carina_ce/DFT/final/master_controller/Rev2.1/20191230_sajain_20191223az_eco_POSTLAYOUT_0/atpg/log/log.atpg_tdf_los_edt.int,tdf_los_edt.int,23:23.8,80.35,19250,12810.4,263922,300
phase_recovery,/scratch/carina_pddft/carina_ce/DFT/final/phase_recovery/Rev2.1/20190904_sajain_finalDB_newrpt_20190904_ls/atpg/log/log.atpg_dcsa_edt.ext,dcsa_edt.ext,23:23.8,51.98,59,422.9,10649,285
phase_recovery,/scratch/carina_pddft/carina_ce/DFT/final/phase_recovery/Rev2.1/20190904_sajain_finalDB_newrpt_20190904_ls/atpg/log/log.atpg_dcsa_edt.int,dcsa_edt.int,23:23.8,99.19,3384,3044.9,402207,300
phase_recovery,/scratch/carina_pddft/carina_ce/DFT/final/phase_recovery/Rev2.1/20190904_sajain_finalDB_newrpt_20190904_ls/atpg/log/log.atpg_tdf_loc_edt.int,tdf_loc_edt.int,23:23.8,12.9,12379,16675.8,402207,300
phase_recovery,/scratch/carina_pddft/carina_ce/DFT/final/phase_recovery/Rev2.1/20190904_sajain_finalDB_newrpt_20190904_ls/atpg/log/log.atpg_tdf_los_edt.int,tdf_los_edt.int,23:23.8,74.16,44920,28664.4,402207,300
sc_lfec_dec_top,/scratch/carina_pddft/carina_ce/DFT/final/sc_lfec_dec_top/Rev2.0/20191025_sajain_0/atpg/log/log.atpg_dcsa_edt.ext,dcsa_edt.ext,23:23.8,11.38,39,627.6,9861,295
sc_lfec_dec_top,/scratch/carina_pddft/carina_ce/DFT/final/sc_lfec_dec_top/Rev2.0/20191025_sajain_0/atpg/log/log.atpg_dcsa_edt.int,dcsa_edt.int,23:23.8,99.09,15936,9122.5,634646,304
sc_lfec_dec_top,/scratch/carina_pddft/carina_ce/DFT/final/sc_lfec_dec_top/Rev2.0/20191025_sajain_0/atpg/log/log.atpg_tdf_loc_edt.int,tdf_loc_edt.int,23:23.8,72.23,21121,22693.1,634646,304
sc_lfec_dec_top,/scratch/carina_pddft/carina_ce/DFT/final/sc_lfec_dec_top/Rev2.0/20191025_sajain_0/atpg/log/log.atpg_tdf_los_edt.int,tdf_los_edt.int,23:23.8,80.54,7292,29675.2,634646,304
staircase,/scratch/carina_pddft/carina_ce/DFT/final/staircase/Rev2.1/20190901_sajain_finalDB_newrpt_20190313_aa/atpg/log/log.atpg_dcsa_edt.ext,dcsa_edt.ext,23:23.8,8.33,25,394.5,1414,173
staircase,/scratch/carina_pddft/carina_ce/DFT/final/staircase/Rev2.1/20190901_sajain_finalDB_newrpt_20190313_aa/atpg/log/log.atpg_dcsa_edt.int,dcsa_edt.int,23:23.8,98.76,6976,4343.6,399498,300
staircase,/scratch/carina_pddft/carina_ce/DFT/final/staircase/Rev2.1/20190901_sajain_finalDB_newrpt_20190313_aa/atpg/log/log.atpg_tdf_loc_edt.int,tdf_loc_edt.int,23:23.8,70.01,37690,37653.9,399498,300
staircase,/scratch/carina_pddft/carina_ce/DFT/final/staircase/Rev2.1/20190901_sajain_finalDB_newrpt_20190313_aa/atpg/log/log.atpg_tdf_los_edt.int,tdf_los_edt.int,23:23.8,80.01,13440,13808.1,399498,300
w_cfe,/scratch/carina_pddft/carina_ce/DFT/final/w_cfe/Rev2.1_eco1/20191206_sajain_Rev2.1eco1_20191202ng_0/atpg/log/log.atpg_dcsa_edt.ext,dcsa_edt.ext,23:23.8,64.71,30,235.9,6328,294
w_cfe,/scratch/carina_pddft/carina_ce/DFT/final/w_cfe/Rev2.1_eco1/20191206_sajain_Rev2.1eco1_20191202ng_0/atpg/log/log.atpg_dcsa_edt.int,dcsa_edt.int,23:23.8,99.1,2659,647.6,331440,304
w_cfe,/scratch/carina_pddft/carina_ce/DFT/final/w_cfe/Rev2.1_eco1/20191206_sajain_Rev2.1eco1_20191202ng_0/atpg/log/log.atpg_tdf_loc_edt.int,tdf_loc_edt.int,23:23.8,67.34,12568,9300.6,331440,304
w_cfe,/scratch/carina_pddft/carina_ce/DFT/final/w_cfe/Rev2.1_eco1/20191206_sajain_Rev2.1eco1_20191202ng_0/atpg/log/log.atpg_tdf_los_edt.int,tdf_los_edt.int,23:23.8,68.45,60139,115706,331440,304
w_dsp_tail,/scratch/carina_pddft/carina_ce/DFT/final/w_dsp_tail/Rev2.1/20191210_sajain_20191209az_eco1_20191209vt_0/atpg/log/log.atpg_dcsa_edt.ext,dcsa_edt.ext,23:23.8,5.22,91,13908.2,10400,286
w_dsp_tail,/scratch/carina_pddft/carina_ce/DFT/final/w_dsp_tail/Rev2.1/20191210_sajain_20191209az_eco1_20191209vt_0/atpg/log/log.atpg_dcsa_edt.int,dcsa_edt.int,23:23.8,98.86,4671,61694.6,465786,300
w_dsp_tail,/scratch/carina_pddft/carina_ce/DFT/final/w_dsp_tail/Rev2.1/20191210_sajain_20191209az_eco1_20191209vt_0/atpg/log/log.atpg_tdf_loc_edt.int,tdf_loc_edt.int,23:23.8,75.91,1017,10351.6,465786,300
w_dsp_tail,/scratch/carina_pddft/carina_ce/DFT/final/w_dsp_tail/Rev2.1/20191210_sajain_20191209az_eco1_20191209vt_0/atpg/log/log.atpg_tdf_los_edt.int,tdf_los_edt.int,23:23.8,33.42,23684,85711.3,465786,300
w_ltx_x4,/scratch/carina_pddft/carina_ce/DFT/final/w_ltx_x4/Rev2.1/20191015_sajain_0/atpg/log/log.atpg_dcsa_edt.ext,dcsa_edt.ext,23:23.8,47.15,23,202.3,8559,293
w_ltx_x4,/scratch/carina_pddft/carina_ce/DFT/final/w_ltx_x4/Rev2.1/20191015_sajain_0/atpg/log/log.atpg_dcsa_edt.int,dcsa_edt.int,23:23.8,99.83,1585,380.5,187144,300
w_ltx_x4,/scratch/carina_pddft/carina_ce/DFT/final/w_ltx_x4/Rev2.1/20191015_sajain_0/atpg/log/log.atpg_tdf_loc_edt.int,tdf_loc_edt.int,23:23.8,52.73,2659,825.7,187144,300
w_ltx_x4,/scratch/carina_pddft/carina_ce/DFT/final/w_ltx_x4/Rev2.1/20191015_sajain_0/atpg/log/log.atpg_tdf_los_edt.int,tdf_los_edt.int,23:23.8,83.36,831,524.2,187144,300
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,, ,,,
